cell_id,area,perimeter,centroid_x,centroid_y,major_axis_length,minor_axis_length,eccentricity,orientation,solidity,extent,mean_intensity,aspect_ratio,circularity,mean_red,mean_green,mean_blue,chlorophyll_content,is_outlier,quality_score,batch_index,image_path,analysis_timestamp
2,27.0,17.242640687119284,113.81481481481481,102.5925925925926,6.851627647116464,5.069779172938521,0.6726751525911823,0.14028522352035122,0.9,0.7714285714285715,0.45187509059906006,1.351464708793324,1.1412113223094678,0.5885257806826434,0.4428467683369644,0.13870733478576616,0.07923021060275964,False,1.0,0,,20250526_190601
3,14.0,11.65685424949238,2.5,146.14285714285714,8.185176077450626,2.744723087312809,0.942101255110686,0.8025617482923423,0.7,0.3333333333333333,0.441601425409317,2.982150033810053,1.294717943669979,0.6005602240896358,0.40140056022408965,0.3719887955182073,0.0,False,1.0,0,,20250526_190601
5,2.0,0.0,0.5,149.5,2.8284271247461903,0.0,1.0,0.7853981633974483,1.0,0.5,0.43380510807037354,282842712.47461903,2513274122.8718343,0.5901960784313726,0.3941176470588235,0.36666666666666664,0.0,False,1.0,0,,20250526_190601
6,3.0,1.4142135623730951,5.0,153.0,4.618802153517006,0.0,1.0,0.7853981633974483,1.0,0.3333333333333333,0.3971033990383148,461880215.3517006,18.849555827290978,0.5542483660130719,0.3581699346405229,0.32026143790849676,0.0,False,1.0,0,,20250526_190601
7,6.0,5.207106781186548,27.833333333333332,156.0,5.075464034086956,1.768771813315289,0.9373107878885266,-0.9555891327184018,0.75,0.5,0.40542086958885193,2.8694848974774962,2.78078970361562,0.5823529411764706,0.36013071895424836,0.3333333333333333,0.0,False,1.0,0,,20250526_190601
8,1.0,0.0,33.0,158.0,0.0,0.0,0.0,-0.7853981633974483,1.0,1.0,0.3998458981513977,0.0,1256637061.4359171,0.5843137254901961,0.35294117647058826,0.3215686274509804,0.0,False,1.0,0,,20250526_190601
9,1.0,0.0,20.0,160.0,0.0,0.0,0.0,-0.7853981633974483,1.0,1.0,0.3999062776565552,0.0,1256637061.4359171,0.5568627450980392,0.3607843137254902,0.3254901960784314,0.0,False,1.0,0,,20250526_190601
10,4.0,4.621320343559642,24.0,160.75,2.8284271247461903,1.7320508075688772,0.7905694150420949,1.5707963267948966,1.0,0.6666666666666666,0.4052417576313019,1.632993152427362,2.353627374715242,0.557843137254902,0.36666666666666664,0.3382352941176471,0.0,False,1.0,0,,20250526_190601
11,3.0,3.414213562373095,39.333333333333336,162.33333333333334,2.3094010767585034,1.3333333333333333,0.816496580927726,-0.7853981633974483,1.0,0.75,0.4209771156311035,1.7320507945784966,3.2340725039414875,0.592156862745098,0.37777777777777777,0.34509803921568627,0.0,False,1.0,0,,20250526_190601
12,1.0,0.0,29.0,163.0,0.0,0.0,0.0,-0.7853981633974483,1.0,1.0,0.4379831552505493,0.0,1256637061.4359171,0.6039215686274509,0.396078431372549,0.36470588235294116,0.0,False,1.0,0,,20250526_190601
13,2.0,0.0,25.5,164.0,2.0,0.0,1.0,1.5707963267948966,1.0,1.0,0.41363176703453064,200000000.0,2513274122.8718343,0.5705882352941176,0.37450980392156863,0.3392156862745098,0.0,False,1.0,0,,20250526_190601
14,1.0,0.0,55.0,164.0,0.0,0.0,0.0,-0.7853981633974483,1.0,1.0,0.4034619927406311,0.0,1256637061.4359171,0.6,0.35294117647058826,0.3254901960784314,0.0,False,1.0,0,,20250526_190601
15,1.0,0.0,52.0,165.0,0.0,0.0,0.0,-0.7853981633974483,1.0,1.0,0.3967576324939728,0.0,1256637061.4359171,0.5843137254901961,0.34901960784313724,0.3176470588235294,0.0,False,1.0,0,,20250526_190601
16,1.0,0.0,20.0,166.0,0.0,0.0,0.0,-0.7853981633974483,1.0,1.0,0.3957168459892273,0.0,1256637061.4359171,0.5490196078431373,0.3568627450980392,0.32941176470588235,0.0,False,1.0,0,,20250526_190601
17,2.0,0.0,43.5,166.0,2.0,0.0,1.0,1.5707963267948966,1.0,1.0,0.394540399312973,200000000.0,2513274122.8718343,0.5725490196078431,0.34901960784313724,0.3215686274509804,0.0,False,1.0,0,,20250526_190601
18,2.0,0.0,17.5,167.5,2.8284271247461903,0.0,1.0,0.7853981633974483,1.0,0.5,0.4747290313243866,282842712.47461903,2513274122.8718343,0.6176470588235294,0.4392156862745098,0.40588235294117647,0.0,False,1.0,0,,20250526_190601
19,1.0,0.0,146.0,168.0,0.0,0.0,0.0,-0.7853981633974483,1.0,1.0,0.39498040080070496,0.0,1256637061.4359171,0.5882352941176471,0.3607843137254902,0.16470588235294117,0.0,False,1.0,0,,20250526_190601
20,22.0,15.899494936611665,151.72727272727272,170.86363636363637,6.266584960057801,4.589171107158032,0.6809562630175621,1.3125743134449832,0.9166666666666666,0.7333333333333333,0.45507878065109253,1.36551564543502,1.0936185983605364,0.5181818181818182,0.47219251336898393,0.09928698752228163,0.16345811051693404,False,1.0,0,,20250526_190601
21,1.0,0.0,54.0,170.0,0.0,0.0,0.0,-0.7853981633974483,1.0,1.0,0.4469046890735626,0.0,1256637061.4359171,0.6313725490196078,0.4,0.3686274509803922,0.0,False,1.0,0,,20250526_190601
22,1.0,0.0,141.0,170.0,0.0,0.0,0.0,-0.7853981633974483,1.0,1.0,0.4448956549167633,0.0,1256637061.4359171,0.6392156862745098,0.4,0.3176470588235294,0.0,False,1.0,0,,20250526_190601
23,1.0,0.0,41.0,173.0,0.0,0.0,0.0,-0.7853981633974483,1.0,1.0,0.3948459029197693,0.0,1256637061.4359171,0.5607843137254902,0.35294117647058826,0.3215686274509804,0.0,False,1.0,0,,20250526_190601
24,31.0,22.106601717798213,146.29032258064515,175.61290322580646,9.401968953142052,4.790997410031134,0.8604269306541339,-1.2734786751213876,0.8611111111111112,0.5740740740740741,0.4672048091888428,1.962424131942228,0.7971271183023709,0.5543327008222644,0.46907020872865274,0.19190385831752058,0.09595192915876027,False,1.0,0,,20250526_190601
25,6.0,5.0,64.16666666666667,175.33333333333334,4.363338213437162,1.65500979239906,0.9252741613028527,-1.3450697810186194,0.8571428571428571,0.75,0.4065678119659424,2.63644251962265,3.0159289462398298,0.5915032679738562,0.35947712418300654,0.3287581699346405,0.0,False,1.0,0,,20250526_190601
26,23.0,16.621320343559645,158.04347826086956,177.6086956521739,6.4015123741774,4.829399216276528,0.6563973457030429,0.8941752229644524,0.8846153846153846,0.7666666666666667,0.4867668151855469,1.3255297552016574,1.046180595530046,0.5658994032395568,0.4936061381074169,0.18567774936061382,0.11781756180733155,False,1.0,0,,20250526_190601
27,1.0,0.0,67.0,177.0,0.0,0.0,0.0,-0.7853981633974483,1.0,1.0,0.39592429995536804,0.0,1256637061.4359171,0.5803921568627451,0.34901960784313724,0.3176470588235294,0.0,False,1.0,0,,20250526_190601
28,50.0,27.899494936611664,154.26,182.46,10.69254594386512,6.5667542392215,0.7891946187779545,0.5801553112073793,0.847457627118644,0.625,0.5149805545806885,1.6282847717550477,0.807211212296719,0.5869803921568628,0.5196078431372549,0.2568627450980392,0.09768627450980394,False,1.0,0,,20250526_190601
29,73.0,43.76345596729059,116.1917808219178,183.3013698630137,17.467243504675267,6.598384424040107,0.9259045181063775,1.3248845114766379,0.7604166666666666,0.6083333333333333,0.5048177242279053,2.6472000349910343,0.47897131293592593,0.6243889336556541,0.4890142358313188,0.3092130002686006,0.02221326886919145,False,1.0,0,,20250526_190601
30,7.0,6.207106781186548,108.14285714285714,187.71428571428572,3.582070095417669,2.4713456540351713,0.7238845965239823,1.0389474155936171,0.875,0.7777777777777778,0.4246315360069275,1.449441147609002,2.283123849151837,0.5366946778711484,0.41680672268907565,0.17198879551820728,0.062464985994397815,False,1.0,0,,20250526_190601
31,9.0,8.449747468305832,115.33333333333333,189.55555555555554,5.494862577088718,2.3993962871648673,0.8996257663855286,-1.086125516827585,0.75,0.45,0.46756893396377563,2.2901021325995465,1.584035513271635,0.5529411764705883,0.46579520697167753,0.23355119825708062,0.0725490196078431,False,1.0,0,,20250526_190601
32,3.0,3.414213562373095,122.33333333333333,190.33333333333334,2.3094010767585034,1.3333333333333333,0.816496580927726,-0.7853981633974483,1.0,0.75,0.4159069359302521,1.7320507945784966,3.2340725039414875,0.5006535947712418,0.4196078431372549,0.12941176470588237,0.10457516339869283,False,1.0,0,,20250526_190601
33,62.0,43.10660171779821,89.1774193548387,194.46774193548387,22.713236398607616,3.712431726631386,0.9865519603790258,-1.515098792306192,0.8266666666666667,0.7045454545454546,0.414824515581131,6.118155971594328,0.41928949324554715,0.574573055028463,0.3738140417457306,0.35091714104996835,0.0,False,1.0,0,,20250526_190601
34,21.0,16.65685424949238,105.19047619047619,193.95238095238096,9.523335370903412,2.9152748030798623,0.9519932246648054,-1.4413481298093611,0.9130434782608695,0.7777777777777778,0.4108656346797943,3.266702448831031,0.9511372433780884,0.58468720821662,0.3660130718954248,0.34360410830999066,0.0,False,1.0,0,,20250526_190601
35,5.0,5.207106781186548,113.8,194.4,3.098386676965933,1.7888543819998317,0.816496580927726,-1.2490457723982544,1.0,0.8333333333333334,0.40405020117759705,1.7320507978864188,2.3173247530130165,0.5882352941176471,0.3568627450980392,0.32941176470588235,0.0,False,1.0,0,,20250526_190601
36,11.0,11.207106781186548,79.72727272727273,199.54545454545453,6.410747983365108,1.9649396885733192,0.9518683762700559,-1.5174284904703288,1.0,0.9166666666666666,0.4029560089111328,3.2625672879527805,1.1005645742775054,0.5529411764705883,0.36506238859180035,0.33689839572192515,0.0,False,1.0,0,,20250526_190601
38,12.0,10.242640687119284,177.66666666666666,211.25,4.167620293867669,3.631321610887408,0.4907192147942729,-1.2251278624101658,0.9230769230769231,0.75,0.4038855731487274,1.1476869109845476,1.4373655584033858,0.4803921568627451,0.4215686274509804,0.0029411764705882353,0.17990196078431372,False,1.0,0,,20250526_190601
40,2.0,0.0,40.0,223.5,2.0,0.0,1.0,0.0,1.0,1.0,0.5142413973808289,200000000.0,2513274122.8718343,0.4549019607843137,0.5372549019607843,0.46078431372549017,0.07941176470588235,False,1.0,0,,20250526_190601
45,38.0,32.207106781186546,125.73684210526316,228.07894736842104,10.906578540845254,7.9370449813850055,0.6858636670064054,-0.3741423829376992,0.6785714285714286,0.5428571428571428,0.5958994626998901,1.3741359098610917,0.4603520000214782,0.6586171310629515,0.5802889576883385,0.5659442724458205,0.0,False,1.0,0,,20250526_190601
46,2.0,0.0,170.0,223.5,2.0,0.0,1.0,0.0,1.0,1.0,0.6079266667366028,200000000.0,2513274122.8718343,0.6862745098039216,0.5901960784313726,0.5529411764705883,0.0,False,1.0,0,,20250526_190601
48,2.0,0.0,177.0,223.5,2.0,0.0,1.0,0.0,1.0,1.0,0.6272454261779785,200000000.0,2513274122.8718343,0.6901960784313725,0.6215686274509804,0.4980392156862745,0.027450980392156876,False,1.0,0,,20250526_190601
50,2.0,0.0,70.5,225.5,2.8284271247461903,0.0,1.0,0.7853981633974483,1.0,0.5,0.4949251413345337,282842712.47461903,2513274122.8718343,0.5019607843137255,0.49607843137254903,0.4627450980392157,0.013725490196078438,False,1.0,0,,20250526_190601
57,26.0,25.207106781186546,94.46153846153847,228.92307692307693,8.170674079394285,7.095950332676893,0.4957492272128161,-0.15540104338427238,0.6842105263157895,0.6190476190476191,0.5886080861091614,1.151455926946631,0.5142060826904769,0.6194570135746607,0.5820512820512821,0.5627450980392157,0.0,False,1.0,0,,20250526_190601
59,27.0,22.414213562373096,109.81481481481481,229.25925925925927,8.36139545537756,7.2737451029064975,0.4931928630695381,-0.16699742021048702,0.675,0.6428571428571429,0.61041259765625,1.1495309947747745,0.6753464433469786,0.6535947712418301,0.6004357298474946,0.5821350762527233,0.0,False,1.0,0,,20250526_190601
61,27.0,24.621320343559642,165.7037037037037,229.14814814814815,8.43624090138847,6.483592562208485,0.6398011747969709,0.23620374637288455,0.6923076923076923,0.6428571428571429,0.6065406799316406,1.3011676485579753,0.5596943860143418,0.6742193173565723,0.5896877269426289,0.5742919389978214,0.0,False,1.0,0,,20250526_190601
63,13.0,11.207106781186548,176.69230769230768,231.46153846153845,12.387277887088974,2.0233161113622558,0.9865701297220042,-0.10926571606171682,0.65,0.43333333333333335,0.6908352971076965,6.122265204286952,1.300667224146143,0.7435897435897436,0.6796380090497738,0.6464555052790346,0.0,False,1.0,0,,20250526_190601
64,4.0,2.414213562373095,69.5,229.5,4.47213595499958,2.0,0.8944271909999159,1.5707963267948966,0.6666666666666666,0.5,0.5502504706382751,2.23606796631945,8.624193336445579,0.5225490196078432,0.5617647058823529,0.5176470588235295,0.04166666666666663,False,1.0,0,,20250526_190601
