cell_id,area,area_pixels,area_microns_sq,perimeter,centroid_x,centroid_y,major_axis_length,minor_axis_length,eccentricity,solidity,extent,orientation,mean_intensity,aspect_ratio,circularity,roundness,mean_red,mean_green,mean_blue,chlorophyll_content,health_score,size_category,health_category
1,173.0,173.0,173.0,53.11269837220809,102.71676300578035,19.566473988439306,18.398306783597864,12.27658379633839,0.7448185624421938,0.9153439153439153,0.6865079365079365,-1.078917028089109,5.9764019582191214e-05,1.4986503634747994,0.770653641404772,0.6507295208073252,0.5272809701915449,0.6155049302958178,0.3594469001473422,0.17214099512637426,0.11681927009841668,small,poor
2,130.0,130.0,130.0,43.21320343559643,102.34615384615384,31.1,15.979923812494427,10.526681767286112,0.7523670039944377,0.9285714285714286,0.7386363636363636,-1.1349116310414016,5.5769473245201396e-05,1.518039981694423,0.8748232002889865,0.6481925902686128,0.6048868778280543,0.6864856711915536,0.4132428355957768,0.17742081447963798,0.11500034716777655,small,poor
3,134.0,134.0,134.0,45.698484809834994,171.51492537313433,28.895522388059703,15.177863202776722,11.772365248557579,0.6311911531284952,0.9054054054054054,0.6063348416289592,-1.4177764911007649,5.457518861373376e-05,1.289278991045883,0.8063267371878036,0.740616952196599,0.5481416447175885,0.6121451565700907,0.34383962540239976,0.16615452151009658,0.16698804935370432,small,poor
4,240.0,240.0,240.0,59.35533905932738,46.92916666666667,31.708333333333332,20.823999323437782,14.81619597901478,0.7026899638490711,0.9302325581395349,0.7058823529411765,-0.9129067549282975,5.6476694826209406e-05,1.4054889216420587,0.8560547184469841,0.7046818378944384,0.5646078431372549,0.6438235294117648,0.39749999999999996,0.16276960784313738,0.1383119760920312,medium,poor
5,192.0,192.0,192.0,57.45584412271571,137.83854166666666,34.895833333333336,21.037503888374662,12.479959335179428,0.8050371940470421,0.8847926267281107,0.6233766233766234,1.4149491499081994,6.041692934896819e-05,1.6857029182952197,0.7308742709458876,0.5523609003259724,0.48570261437908496,0.5685661764705883,0.3349468954248366,0.15824142156862753,0.08628103506137476,medium,poor
6,246.0,246.0,246.0,60.526911934581186,156.5691056910569,39.61788617886179,20.958636089429838,15.618866938083285,0.6668148323544698,0.9534883720930233,0.7321428571428571,1.3009798434047104,5.7405693209624086e-05,1.3418794179562326,0.843816352325906,0.713048699014521,0.48850629682767416,0.6036824485891917,0.3116371751952814,0.20361071257771396,0.15887279439854363,medium,poor
7,273.0,273.0,273.0,63.698484809834994,132.3992673992674,46.362637362637365,21.33080405772284,17.18860961075353,0.5921719728093282,0.9413793103448276,0.7299465240641712,-1.2654652004539442,5.81942329515145e-05,1.2409848456833892,0.8455013535573755,0.7639383511460275,0.5143144437262085,0.5954176542411836,0.3395676219205631,0.16847662141779784,0.19198953060449886,large,poor
8,341.0,341.0,341.0,71.698484809835,105.55425219941348,49.35777126099707,26.20645344255121,16.685657260654,0.7711113435040278,0.9419889502762431,0.7714932126696833,1.48717665449403,5.805201830598295e-05,1.5705976107181565,0.8335742439818373,0.6321905434173015,0.5013512736472888,0.5981599677994365,0.3005462595595423,0.19721120119602092,0.10783431864054321,large,poor
9,192.0,192.0,192.0,55.698484809834994,157.33333333333334,52.255208333333336,19.99195095854825,12.750896114866313,0.770200791354449,0.9186602870813397,0.7384615384615385,1.5480594588370713,5.74617534568991e-05,1.5678859558396612,0.7777219038716273,0.6116471997674159,0.4983047385620915,0.6120302287581699,0.32344771241830067,0.20115400326797384,0.10558243436942175,medium,poor
10,116.0,116.0,116.0,40.87005768508881,13.982758620689655,53.69827586206897,14.039252890765496,10.734576199751745,0.6444913013518553,0.9206349206349206,0.6444444444444445,-1.1149803003686685,5.652198487819514e-05,1.307853483588075,0.8726846797767702,0.7493420664525658,0.5417511832319135,0.6257944557133198,0.3672751859364436,0.17128127112914127,0.1636751222749184,small,poor
11,467.0,467.0,467.0,90.5685424949238,36.74946466809422,58.78800856531049,31.330949592900424,19.26834838493434,0.7885317285205032,0.9015444015444015,0.5794044665012407,-0.5135287189404696,5.831884587004025e-05,1.6260319229611473,0.715437972609585,0.6057311157052493,0.5006340009237099,0.6126380316580594,0.3225847084015619,0.20102867699542348,0.095353177551241,large,poor
12,706.0,706.0,706.0,118.02438661763952,67.85410764872522,58.56232294617564,42.752103123798314,21.248616521084166,0.8677395374625597,0.9145077720207254,0.5932773109243697,-0.7609857474189254,5.804311478284911e-05,2.011994666158954,0.6368997244376274,0.4918128272260293,0.5271232572349053,0.6307726490029439,0.33669388435260794,0.19886407820918733,0.06050563201816399,large,poor
13,489.0,489.0,489.0,85.25483399593904,196.26993865030676,58.22903885480573,31.247443201836074,20.059142023314614,0.7667506314370999,0.9476744186046512,0.7025862068965517,0.4511444277542398,5.737110388965772e-05,1.5577656885792877,0.8454359223593766,0.6376612161475594,0.5292914711897029,0.6377882032158466,0.3398131440715345,0.20323589558522792,0.11055091542331902,large,poor
14,144.0,144.0,144.0,51.35533905932738,141.48611111111111,64.16666666666667,17.42606362566426,11.357635614916273,0.7584240754589114,0.8470588235294118,0.6515837104072398,-0.07577520870238609,5.822791016965775e-05,1.534303811211827,0.6861216990134389,0.6037734614945997,0.6792483660130719,0.7382897603485838,0.5079248366013073,0.1447031590413943,0.10234362317248705,small,poor
15,105.0,105.0,105.0,38.970562748477136,14.80952380952381,65.01904761904763,13.186689938228549,10.539772738539074,0.6009673542631514,0.9130434782608695,0.6730769230769231,0.20563493116407477,5.7640002161500095e-05,1.251136077868127,0.8688119958802453,0.7688255868636791,0.6469467787114845,0.7188048552754435,0.43051353874883286,0.18007469654528474,0.18219589740268555,small,poor
16,119.0,119.0,119.0,43.55634918610404,118.8655462184874,66.57142857142857,16.200392388673233,9.900340641846732,0.7915400188268548,0.9015151515151515,0.7,-0.06301015654994063,5.668639918456353e-05,1.6363469660663987,0.7882316764249698,0.5773059221752873,0.5419344208271544,0.6241884989289834,0.3558082056351953,0.17531718569780863,0.09399325895566911,small,poor
17,174.0,174.0,174.0,54.4558441227157,127.79885057471265,71.76436781609195,18.610664582479814,12.571334869575418,0.7373683083477249,0.9015544041450777,0.7044534412955465,0.28626528989387084,5.760894612585274e-05,1.480404806709625,0.7373439538077091,0.6396399828902208,0.5800315528510255,0.6737435203966644,0.3516114491773721,0.20792201938246563,0.11841718361165324,medium,poor
18,101.0,101.0,101.0,38.62741699796952,25.019801980198018,75.24752475247524,12.399696779176386,10.681415309249818,0.5078839086671114,0.9017857142857143,0.7013888888888888,0.152145489421248,5.680179668452285e-05,1.1608664590384308,0.8506284457711331,0.8363910216949505,0.5123277033585711,0.6206950106775383,0.3150456222092798,0.20700834789361283,0.22192003136540364,small,poor
19,257.0,257.0,257.0,64.66904755831214,185.704280155642,77.52918287937743,24.95073500928034,13.329749955384559,0.8453310921773005,0.9311594202898551,0.5840909090909091,0.8475193978261848,5.740170448719428e-05,1.8718081790036425,0.7722360253256211,0.5256256550914254,0.5548638132295719,0.6517891203173876,0.35887693598840315,0.19491874570840007,0.07203940612476854,medium,poor
20,306.0,306.0,306.0,70.08326112068524,151.6143790849673,81.30718954248366,23.878994697699987,16.5816242081182,0.7195871838297431,0.918918918918919,0.6194331983805668,-1.404512956423553,5.768709366653401e-05,1.4400877974069746,0.7828934975604683,0.6832811926372828,0.5672049211841599,0.6703319236191209,0.3344226579520697,0.21951813405100606,0.1288671644899243,large,poor
21,651.0,651.0,651.0,99.74011537017762,83.08602150537635,84.53456221198157,34.989617235249405,23.806973211551156,0.7328399388263989,0.9434782608695652,0.744,-1.4102732912748763,5.781431668416592e-05,1.4697213673334673,0.8223394405334942,0.6770374996821463,0.5591217132014097,0.6399927713020692,0.3418270534020059,0.18951838800036142,0.12605876210328001,large,poor
22,463.0,463.0,463.0,83.1543289325507,43.31533477321814,90.39956803455723,30.153290246668572,19.656190337667162,0.7583260300758997,0.9605809128630706,0.6849112426035503,0.718606740863129,5.6371735375279184e-05,1.5340353198323207,0.8414360773629678,0.6483681809075723,0.5269216109770042,0.6239867869393978,0.34184559352898825,0.18960318468640158,0.1161018871901549,large,poor
23,232.0,232.0,232.0,60.526911934581186,170.25,89.52586206896552,19.121783695011064,16.1704860103187,0.5337254378016377,0.9133858267716536,0.6783625730994152,-0.9186173036214713,5.760894612585274e-05,1.1825113772699205,0.7957942834943504,0.8078696654630649,0.6423766058147398,0.7352265043948614,0.4363928329952671,0.19584178498985794,0.21297309272113388,medium,poor
24,258.0,258.0,258.0,64.52691193458118,130.2248062015504,94.6937984496124,23.22051142586396,14.882064299818197,0.7676229955269497,0.9520295202952029,0.7478260869565218,-0.22349191359543782,5.717921726049972e-05,1.5603017795417407,0.7786598949714069,0.6092369890852624,0.5904392764857881,0.687733698130415,0.3745706034351725,0.2052287581699347,0.11064347365668742,medium,poor
25,210.0,210.0,210.0,60.87005768508881,118.82857142857142,98.34761904761905,22.103970740913677,13.124364540998297,0.8046451706317966,0.9012875536480687,0.6521739130434783,0.09462011071324045,5.7039585472317797e-05,1.6841935969564599,0.7122324097246534,0.5472538421036443,0.5804295051353875,0.6733146591970122,0.36457516339869284,0.20081232492997203,0.0880639579200381,medium,poor
26,100.0,100.0,100.0,40.62741699796952,169.61,100.9,15.448567800849009,8.515171924428259,0.8343765170488944,0.9009009009009009,0.6944444444444444,-1.5100754457072179,5.4217627033161036e-05,1.8142402666454536,0.761327365566327,0.5334990766937122,0.5912941176470589,0.6776470588235295,0.40541176470588236,0.17929411764705888,0.07463228131401461,small,poor
27,258.0,258.0,258.0,66.08326112068524,150.28682170542635,102.4922480620155,22.4435722488606,15.44155770624484,0.725694634287637,0.8865979381443299,0.645,0.6169826689250896,5.6690506001862976e-05,1.4534526024696002,0.7424148267735069,0.6521475375712745,0.605547955616355,0.6891168870649035,0.42007903936768504,0.1763033895728835,0.1216276310842546,medium,poor
